Unique ID,Response Duration,Q16A. What is the most important thing you LIKE about the shown concept}?     This can include anything you would want kept for sure or aspects that might drive you to buy or try it…       Please type a detailed response in the space below,"Q16B. What is the most important thing you DISLIKE about the shown concept}?    This can include general concerns, annoyances, or any aspects of the product that need fixed for this to be more appealing to you...     Please type a detailed response in the space below.","Q18_1 What specific product that you are currently using would the shown product replace?
 Please type in ONE specific brand or product per space provided.","Q18_2 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided.","Q18_3 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided.",OE_Quality_Flag
74,8.0,i dont like this beer,its gross,Unanswered,Unanswered,Unanswered,0
75,14.0,The fact that it is an organic light beer that is crisp and fresh tasting,The price is the only thing I dislike,Miller Lite,Bud Light,Dos Equis,0
76,6.0,It would taste good,Nothing,Unanswered,Unanswered,Unanswered,0
77,22.0,it has a crisp taste,nothing,Unanswered,Unanswered,Unanswered,0
78,10.0,It's presentation,The color of the beer,Olde english,Cobra,Hurricane,1
80,17.0,The look is appealing,Possibly the colors,Bud light,Budweiser,Modelo,0
81,34.0,I like the overall taste for me,I have no dislikes,Unanswered,Unanswered,Unanswered,0
83,16.0,The color of the beer and the design on the bottle make it look more delicious.,The price.,Corona Light,Michelob Ultra,No others,0
85,4.0,I like it all,Nothing,Unanswered,Unanswered,Unanswered,0
86,17.0,The taste,Nothing,Unanswered,Unanswered,Unanswered,0
89,11.0,Low carb but full of flavor,Nothing in particular,Blue moon,Stella artois,Sierra nevada,0
92,15.0,The alcohol percentage,Nothing,Unanswered,Unanswered,Unanswered,0
93,22.0,Very low in calories. That it's organic.,I'm not too fond of lagers.,Unanswered,Unanswered,Unanswered,0
95,12.0,Like the image and taste good,Nothing I dislike about it,Coorlite,Corona,Coors,1
97,12.0,There's nothing in particular that I like about it I've heard that it's not that expensive but I don't know if I would be able to acquire The taste but the colors on the bottle looks very good,I think the bear is too light it looks kind of watery,Steel reserve,Montebello,Vonka,0
98,15.0,I like that it is a light calorie beer that taste good and it’s USDA certified,I think the bottle could look a little better but other than that it looks very appealing and I don’t dislike anything about ht,Xx,Corona,Michelob Ultra,0
100,34.0,I like that it is a lager and the bottle is attractive.,I don't like light beer.,Unanswered,Unanswered,Unanswered,0
103,12.0,Low carb low cal,Price,Ultra,Xx,Corona,0
104,8.0,It has a nice bright color. Nothing about it is particularly interesting but it’s nice to look at.,It doesn’t make me want to buy it. I don’t see anything special about it.,Stella Artois,Corona,Budweiser,0
105,5.0,smooth taste,nothing,miller lite,corona light,micholob ultra,0
106,9.0,Organic would be interestung,Not sure it'd be any different than other beer,Bud light,Budweiser,Corona,1
107,4.0,Not much,Not much,Unanswered,Unanswered,Unanswered,0
108,38.0,It's very light. Easy to drink anytime,Nothing is really new about it such as it's flavor,Unanswered,Unanswered,Unanswered,0
111,9.0,I don't really like this brand of beer,Nothing specific it's just not a beer that I like,Unanswered,Unanswered,Unanswered,0
112,17.0,Light in carbs and calories and lower percentage of alcohol. I’m already trying to cut back and ulta is one of my favorites. Have to try out the little brother,I considered this premium so the price might be kind of above average for some folks,Ultra,Bud light,Corona light,0
113,22.0,It is a lightly beer,Unanswered,Michelob ultra,Heineken,Coors,0
114,6.0,The package,The price,Corona,Bush,Bud,0
115,15.0,It’s a pretty beer,It’s probably expensive,Budlight,Budweiser,Corona,0
117,13.0,How pale and smooth it is,It's a little bitter,Unanswered,Unanswered,Unanswered,0
118,24.0,I like the way this product bring a good description of a good beer,nothing about this product dislike to me so far about it,corona,miller,estrella jalisco,0
119,9.0,I like the design of the bottle,I feel like it isn't the taste I'm looking for,Unanswered,Unanswered,Unanswered,0
121,13.0,Nothing,I don't think it's a beer for me,Unanswered,Unanswered,Unanswered,0
123,8.0,Nothing,Nothing,Unanswered,Unanswered,Unanswered,0
124,7.0,The bottle stand out.,Nothing to dislike.,bud light,corona,hienken,0
125,19.0,I don't drink lager beer,I don't drink lager beer,Unanswered,Unanswered,Unanswered,0
126,7.0,it looks refreshing,nothing that i noticed,miller light,bud light,corona,0
127,22.0,I'm neutral.,I'm neutral.,Unanswered,Unanswered,Unanswered,1
128,6.0,Great its wonderful,Great its wonderful,Great,Good,Wonderful,0
129,12.0,Nothing really,It's just not appealing to me,Unanswered,Unanswered,Unanswered,0
130,10.0,The gold color,The taste,Unanswered,Unanswered,Unanswered,0
132,12.0,The label and the beer itself,They it's a lite beer,Heineken,Bud light,Miller lite,1
133,7.0,Calidad y funcionalidad,No hay algo que no me guste,Stick de queso,Pasta,Queso,0
134,25.0,no particular inclination nor idea,another expensive beer for the snooty,heineken,grolsch,pabst,0
135,12.0,Never tried it,Don't know,Budwiser,Keystone,Bush,0
137,11.0,That it look like it's golden,Nothing,Millers,Coors,Budwiser,0
140,16.0,Looks fancy,Not strong,Stella,Miller lite,Sapporo,0
141,10.0,It looks like it may have a good flavor,The lower alcohol content,Hard lemonade,Corona,Miller light,1
142,15.0,Nothing,Nothing,Unanswered,Unanswered,Unanswered,0
143,12.0,The only things I like are the low calories and pricing.,I don’t like light beer and this one has an extremely low IBU.,Unanswered,Unanswered,Unanswered,0
144,9.0,Exclusive,No dislikes,Budlight,Coors,Corona,0
146,33.0,USDA certified organic,Unanswered,Budweiser,Miller,Coors,0
147,13.0,Nothing at all.,This is not my kind of beer.,Unanswered,Unanswered,Unanswered,0
148,19.0,High quality products,It's a light beer,Unanswered,Unanswered,Unanswered,0
150,8.0,It seems to be light and smooth,I don't dislike anything,Unanswered,Unanswered,Unanswered,0
152,24.0,I don't like it,A lot,Unanswered,Unanswered,Unanswered,1
153,16.0,Unanswered,Unanswered,Unanswered,Unanswered,Unanswered,0
154,13.0,Great pricing,Nothing at all,Unanswered,Unanswered,Unanswered,0
155,21.0,Refreshing light taste easy to drink,I'm not that much good with the price,Busch Ice,Budweiser,Bud Light,0
156,30.0,"It's refreshing and smooth. Also, it doesn't really give you a bad breath.",Nothing.,Unanswered,Unanswered,Unanswered,0
157,14.0,it is from Michelob and it is light,low achol level,Unanswered,Unanswered,Unanswered,0
158,44.0,I like that it's advertising it self as a light beer while still being full flavor,Nothing,Unanswered,Unanswered,Unanswered,0
160,6.0,Organic,Delicious,Steel reserve,211,Miller,1
161,9.0,Nothing in particular,Nothing,Unanswered,Unanswered,Unanswered,0
162,57.0,I thin the fact it is 12pk for 9.99,something about the gold doesn't appeal to me,Unanswered,Unanswered,Unanswered,0
163,6.0,Nothing,The taste,Bud light,Miller,Bud ice,0
165,7.0,Cool labeling,The ultra name,Unanswered,Unanswered,Unanswered,0
166,7.0,"It is light, so it is good for me to enjoy the drink, but not getting drunk.",nothing particular,Miller light,Corona,Coors,0
169,10.0,I like the display,I dislike that it doesn't have much alcohol,Unanswered,Unanswered,Unanswered,0
170,9.0,Nothing,The picture to much blue,Unanswered,Unanswered,Unanswered,1
171,15.0,The presentation,I don't like lights beers,Unanswered,Unanswered,Unanswered,0
172,8.0,I love this smooth taste of this beer and the versatile taste that has it will be great to have this beer during a social event with friends eating dinner. It has a light taste and that gives you a nice head change.,I don’t really have any concerns. I think this beer is really great compared to the beers that I’ve had in the past. I don’t think the other bill is compared to this beer. This beer is the best beer ever ever ever ever.,Fosters,Bud light,Corona,0
173,5.0,Taste,Bitterness,Blue moon,Budweiser,Coors,0
174,16.0,I like the lightness of the beer product and how cheap a siz pack is,Not alot of beer is there but it is cheaper,Unanswered,Unanswered,Unanswered,0
175,13.0,That it’s an ultra light beer. It definitely would be a nice beer to have during the week,The Abv is kind of low. I’m thinking it’s a waste of calories,Unanswered,Unanswered,Unanswered,0
177,15.0,Lower the price on the product,The cost and the taste,Unanswered,Unanswered,Unanswered,0
178,16.0,I love Michelob beer. I do drink Michelob. I love the taste. I am sure this will taste great as well.,There is nothing here to dislike.,Unanswered,Unanswered,Unanswered,0
179,7.0,Its innovative,Nothing,Beer,High,Little,0
181,11.0,"It has low grade alcohol. Otherwise, I don't like it",The product,Unanswered,Unanswered,Unanswered,0
184,10.0,I like the fact that it is Extra Light and it is a Lager which is usually a heavier beer.,I did not dislike anything.,Genesee,Gin,Budweiser,0
185,8.0,That its light and organic.,Sometimes Michelob has a strange after taste.,Unanswered,Unanswered,Unanswered,0
187,13.0,It appears that it would be a good tasting beer,There wasn't anything that i dislike,Unanswered,Unanswered,Unanswered,0
188,8.0,Nothing,Nothing,Corona,Bud light,Coors,0
191,10.0,Cleaner ingredients and lower calories,Taste of this beer in general,Unanswered,Unanswered,Unanswered,0
192,22.0,"smooth, easy going down for balance",nothing,Michelob ultra,miller light,corona,0
193,38.0,The taste.,Nothing in particular.,Unanswered,Unanswered,Unanswered,0
194,22.0,"I used to enjoy having one with my mother when , she was alive.","Nothing it just brings back great memories when, my mother and I would have a cold. Nothing to dislike here.",Gineuse stout,Colt 45,Lager,0
198,11.0,Thebtaste that they promise,Anything,Modelo,Heineken,Corona,0
199,8.0,I like that it's organic and made in the usa,There is nothing that I dislike,Bud light,Heineken,Coors light,0
201,9.0,Unanswered,Nothing,Unanswered,Unanswered,Unanswered,0
202,23.0,It's Michelob,It's a light beer,Unanswered,Unanswered,Unanswered,0
203,20.0,I like that it is certified organic.,it is too light for my taste,Unanswered,Unanswered,Unanswered,0
204,17.0,The color and shine,Nothing in particular,Michelob ultra,Natural light,Coors,1
207,16.0,Taste,Too light,Unanswered,Unanswered,Unanswered,1
209,17.0,I don't like it don't drink that kind of beer,Don't know never drunk it,Unanswered,Unanswered,Unanswered,1
211,10.0,Low calorie,"None, but it isn't a brand I would normally purchase.",Unanswered,Unanswered,Unanswered,0
212,21.0,the brand,nothing to dislike,Unanswered,Unanswered,Unanswered,0
213,12.0,The packaging and labeling.,Nothing.,Coors,Natural Ice,Peroni,0
214,14.0,Price is ok,Everything is ok,Unanswered,Unanswered,Unanswered,0
215,12.0,The taste,Sometimes more expensive,Corona,Bud light,Xx,0
216,10.0,The flavor,Nothing,Corona silver,Corona,Heniken,1
218,13.0,I like the concept well enough to want to try it!  I 'm curious now because I've never heard of this particular flavour.,The label design is too bland and plain.,Unanswered,Unanswered,Unanswered,0
221,12.0,I like the price,Nothing,Milwaukee best,Corona,Bud light,0
222,11.0,the package,nothing,Unanswered,Unanswered,Unanswered,0
224,12.0,Them using homegrown ingedients,Nothing in particular,Heineken,Stella Artois,Dos Equis,1
225,21.0,Unanswered,Unanswered,Unanswered,Unanswered,Unanswered,1
226,5.0,Good morning my,Great day,Good,Nice,For the,1
228,7.0,Good taste,Unanswered,Unanswered,Unanswered,Unanswered,0
229,34.0,So trusted and famous brands.,none really .,Corona,Budweiser,corona light,0
230,10.0,Unanswered,Unanswered,Unanswered,Unanswered,Unanswered,0
231,21.0,Do not like Bud folks. Not a fan of the brand.,All of product,Unanswered,Unanswered,Unanswered,1
232,6.0,It has great taste and cheap price,Nothing to dislike at the moment,Great brands,Easy hse,Great,1
233,7.0,Good,Not my Fab brand,CoronA,Corona light,blue moon,0
235,13.0,I like the taste and it’s easier to drink,Nothing,Budweiser,Unanswered,Unanswered,0
236,15.0,I do not like it at all,I only drink 1 kind,Unanswered,Unanswered,Unanswered,0
237,10.0,It reminds me of corona for some reason. I might try it because of that,Nothing,Unanswered,Unanswered,Unanswered,1
238,8.0,The only way,The only,The,The only,The,1
239,15.0,I've never had It,Unanswered,Unanswered,Unanswered,Unanswered,0
242,15.0,"Low calories, blend and brand",None to say,Unanswered,Unanswered,Unanswered,1
244,12.0,I like that it is low calorie,The price is a little higher than expected,Unanswered,Unanswered,Unanswered,0
245,9.0,It’s rich and smooth great tasting,The cost could be a little cheaper,Coors,Bud light,Budweiser,0
247,12.0,I like the sweet bold taste and it doesn't taste bad,Nothing at all,Unanswered,Unanswered,Unanswered,0
249,15.0,It is beer I don't drink,It is not easy to get access t,Corona,Miller's,Elysian,0
250,17.0,Nothing in particular,Nothing in particular,Unanswered,Unanswered,Unanswered,0
251,14.0,It looks premium and mind to drink.,The package seems not very eye-catching.,Budweiser,Coors light,Budweiser larger,0
253,32.0,I like the taste of the beer,Nothing,Busch light,Corona,Heineken,0
254,9.0,I like the fact that it's a light lager,Nothing comes to mind at this moment,Budwiser,Keystone,Coors light,0
256,20.0,Not sure,Not sure,Unanswered,Unanswered,Unanswered,1
258,10.0,I like the color and the taste. In a bottle,Nothing,Bud light,Bud light,Bud.light,0
259,9.0,I like that this is a light beer with a nice smooth taste.,I do not dislike anything about this beer.,Unanswered,Unanswered,Unanswered,0
260,8.0,Good brand,Not sure,Miller,Budwiser,Coors,0
261,17.0,I've never tried it,It's organic,Unanswered,Unanswered,Unanswered,0
262,11.0,The ingredients and short explanation but impactfull,Unanswered,Corona,Sailor jerry,Amatetto,0
263,15.0,There is nothing I like about Michelob Ultra Pure Gold and,I dislike the taste of it,Budweiser,Natural Ice,Bud Light,0
264,18.0,I love the taste and the packaging.,Nothing at all,Corona,Heineken,Ultra,0
266,13.0,I.like how its nice,Nothing I dislike,Miller,Coors,Bufd,0
267,7.0,less filling,nothing,Unanswered,Unanswered,Unanswered,0
268,11.0,I like that its low calorie,i FEEL like you can probably taste the low calorie ness of it,bud light,bud,jewbag,0
269,7.0,The taste,The price,Bud,Extra,Yuttr,0
270,20.0,Taste and calorie count,It is ok but other brands are my typical choice,Michelob Ultra,Miller Lite,Bud Lite,0
271,7.0,I like that it tastes smooth.,Nothing in particular,Unanswered,Unanswered,Unanswered,0
273,14.0,Package and color,Nothing,Unanswered,Unanswered,Unanswered,0
274,9.0,Nothing specific,I am not familiar enough with the brand to say.,Unanswered,Unanswered,Unanswered,0
275,24.0,It tastes good,Nothing,Unanswered,Unanswered,Unanswered,1
276,9.0,Unanswered,Unanswered,Unanswered,Unanswered,Unanswered,0
278,20.0,Nothing,Don't like light beers,Unanswered,Unanswered,Unanswered,0
279,14.0,the taste,none,Unanswered,Unanswered,Unanswered,0
280,8.0,"One of the most important things I really like about Michelob ULTRA Pure Gold is its commitment to being USDA Certified Organic. I appreciate that it’s made with organic ingredients, which feels healthier and aligns with my values about sustainability. Knowing that I’m choosing a beer that doesn’t have artificial additives or pesticides is a big plus for me.
Also, the light lager aspect is fantastic! It has a refreshing taste that’s perfect for social occasions or just chilling with friends. It’s super drinkable and doesn’t leave me feeling heavy, which is great for those summer barbecues or after a long day. Plus, the lower calorie count means I can enjoy a couple without feeling guilty.Overall, the combination of organic quality and light, crisp flavor makes Michelob ULTRA Pure Gold a go-to option for me, whether I'm out with friends or just relaxing at home.","mild or one-dimensional compared to some more robust options. I often crave a bit more complexity in the taste, especially if I’m trying to enjoy it with a nice meal.

Another aspect is the availability; I’ve noticed it’s not always easy to find in local stores or bars, especially when compared to more mainstream brands. Sometimes I have to settle for something else because it’s just not stocked.
Lastly, the price point can be a bit higher than other light lagers, which can be a deterrent when I’m looking for something budget-friendly. If it were more widely available and had a more pronounced flavor profile, I’d definitely be more inclined to choose it regularly!",Bud Light,Miller Lite,Miller Lite,0
281,9.0,That it’s a Michelob product,The low alcohol volume,Unanswered,Unanswered,Unanswered,0
282,15.0,The richness of it,Not a single thing,Unanswered,Unanswered,Unanswered,0
284,22.0,The image is the only thing. The taste is terrible,It's not my kind of beer.,Unanswered,Unanswered,Unanswered,0
285,20.0,"It's pure refreshing, taste with only 70 calories, third less , light beer for pure",Maybe it's a little higher the price,Miller,Budweiser,Dos equis,0
288,14.0,I love Michelob ultra. this new flavor type appeals to me.,10 dollars for a six pack is high. Maybe its inflation.  beer has been pricey lately.,modelo,corona,heineken,0
289,14.0,That it's light and crisp,Nothing comes to mind,Soda,Wine,Bud light,0
290,7.0,"I like the taste of it, and the cool when I drink it.","This is a good beer, there is nothing to dislike about it.",Unanswered,Unanswered,Unanswered,1
291,14.0,I dont know,nothing,Unanswered,Unanswered,Unanswered,0
292,8.0,The taste,I dislike the alcohol content percentage,Natural Light,Keystone Light,Busch Light,0
293,17.0,Most beers are not organic and organic is good products and drinking good quality of drink is the best thing. It makes me wanna drink it knowing the best products wefe used,Maybe a little to light for most I think that's only think I like everything else,Corona,Budlight,Lager,0
295,9.0,No comment,No comment,Unanswered,Unanswered,Unanswered,0
297,7.0,it would taste good,nothing to dislike,Michelob Ultra,Hoegaarden,Stella Artois,0
299,29.0,Unanswered,It has a bad taste,0,0,0,0
300,12.0,Contains lower amount of calories,Nothing comes to mind,Coors light,Bud light,Keystone light,0
301,9.0,That is organic and low carb,Nothing dislike,Michelob reg,Bud light,Corona,0
302,15.0,That its lighter and low in calories,The price and the light flavor,Unanswered,Unanswered,Unanswered,0
304,25.0,Keep it the same,I dislike the brand,Unanswered,Unanswered,Unanswered,0
306,17.0,That is has organic ingredients all natural so the flavor sounds amazing,It looks expensive so I don't like that too much.,Unanswered,Unanswered,Unanswered,0
308,11.0,It has fewer calories then other beer brands and it's made by a well known and trusted brand,Nothing at all,Unanswered,Unanswered,Unanswered,0
309,9.0,like the taste,nothing,Bud light,Henikan,Sam Adam,0
310,11.0,Packaging,Taste,Natural ice,Bold,Hamms,0
311,9.0,it is low in alcohol and calorie,clear bottle may make it go bad faster,michelob ultra,import beer,coors,0
312,9.0,I like the packaging,Nothing,Unanswered,Unanswered,Unanswered,0
314,39.0,I like the smooth cold taste you get from the beer when it's nice and cold and it goes down smooth,I don't like the bottle top is a little bit hard to get off,Coors,Old English,Private stock,0
315,14.0,I'm not sure what I would like because I never tasted it and right now nothing on the description is making me want it.,Can't say I dislike anything because I never tasted it. So I wouldn't say I don't like or like it.,Unanswered,Unanswered,Unanswered,0
317,8.0,The style and i know the flavor might be good. Its lite and i rarely drink those. But i like a good beer in a glass.,That its lite. Not really into that.,Unanswered,Unanswered,Unanswered,0
318,12.0,Less calories and carbs,The flavor and alcohol percentage.,Unanswered,Unanswered,Unanswered,0
321,18.0,It does seem to be a somewhat quality beer.,"It is a light beer with all the drawbacks of one, and the organic quality is unnecessary.",Unanswered,Unanswered,Unanswered,0
322,18.0,Looks very appealing,Na,Unanswered,Unanswered,Unanswered,0
325,12.0,It looks like a good tasting light beer,The Budweiser roots that make the beer,Unanswered,Unanswered,Unanswered,0
327,11.0,the presentation of the bottle,i don't,Modelo,bud light,modelo express,0
331,8.0,Very low calorie and it’s advertised as still being great tasting,I’m not a fan of the price for a 6 pack. Feels a little on the higher end,White claws,Coors light,Heineken,0
333,14.0,I think it's a good addition to the product line,Nothing,Miller Light,Coors light,Budweiser,0
334,20.0,Taste,Nothing,Coors,Budwieser,Bud light,0
335,14.0,This doesn't sound like my style,The alcohol quality,Unanswered,Unanswered,Unanswered,0
338,9.0,Smooth taste,Nothing,Unanswered,Unanswered,Unanswered,0
339,12.0,The brand,Nothing,Unanswered,Unanswered,Unanswered,0
341,17.0,I have been a regular consumer of Michelob Ultra over 20 years. Naturally predetermined to like.,"From what was in the product description, I can find nothing to dislike.",michelob ultra,yueng ling,any other beers,0
342,14.0,They said it had a crisp flavor,I don't like Michelob and it has a lower alcohol percentage,Unanswered,Unanswered,Unanswered,0
344,20.0,That it’s organic and may be a little better for you.,It’s beer and it may taste like all the others.,Unanswered,Unanswered,Unanswered,0
345,15.0,The appearance,Price range,Unanswered,Unanswered,Unanswered,0
347,20.0,Gold premium,Price,Bud light,Bud,Coors,0
348,8.0,The organic part,The price,Miller Lite,Michelob Ultra,Bud Light,0
349,40.0,What I like the most about this drink is that it's low in carbs and that it is golden flavored.,The only thing I can say is that it's not enough alcohol percentage.,Milwaukee best,Bud ice,Coors,0
350,9.0,"Since I've never tasted it, I'm really interested in tasting it.",I can't think of anything.,Budweiser,Heineken,Iron City,0
352,14.0,it's from Michelob.  They usually have good products,nothing,miller lite,corona light,coors light,0
353,29.0,I like how crisp it looks. I like beverages that are crisp but have a determinable flavor.,Well I don't know much about the product. I will saying the gold color makes and lettering makes it look a little fancy.,Modelo,corona,other,0
356,13.0,The whole advertisement just seems fancy for beer !!,Nothing,steel,Bud light,Budweiser,0
358,11.0,Better flavor,Generic beer,Unanswered,Unanswered,Unanswered,0
361,22.0,I like that it has fewer calories than other leading brands available at the grocery store and it is extremely light to drink..,That it does not show a list of ingredients on the products page is what I still really dislike about the light beer for the most part.,Heiniken,Bud Light,Jack Daniels,1
363,9.0,It looks like a good product,Nothing at all,Unanswered,Unanswered,Unanswered,0
366,7.0,Nothing,No comments,Unanswered,Unanswered,Unanswered,0
367,12.0,I like that it is light and made from high quality ingredients.,I don’t like that light also means less alcohol content and not just calories.,Unanswered,Unanswered,Unanswered,0
368,6.0,That it's a popular brand,The taste,Unanswered,Unanswered,Unanswered,1
369,51.0,Don’t know,I haven’t drank it,Unanswered,Unanswered,Unanswered,0
370,12.0,"I like the design of the bottle, the white color with the bright gold color of the beer makes the product stand out and the lighter color drives home the idea that this is a very light premium beer.",I dislike the small abv percentage. I can see why others and even myself would enjoy it on certain occasions but the low alcohol percentage would probably push me to buy a different brand or different Michelob product with more abv content.,Unanswered,Unanswered,Unanswered,0
371,10.0,I just like the smooth taste it has,There's nothing I don't like about it,Michelob ultra,Michelob ultra pure gold,Michelob,0
372,14.0,The taste,Nothing,Coors light,Regular Michelob,Corona,0
374,13.0,The color is definitely more light and golden of the light version. It has the right amount of alcohol so it will taste right,Nothing,Unanswered,Unanswered,Unanswered,0
375,28.0,I like the crisp taste and gold color. A real beer without so many calories. It also has a nice finish!,Nothing actually! Michelob is a great brand of beer,Coors light,Budwiser,Milwaukees Best,0
377,6.0,No comment,No,Coors,Miller,Bud,0
378,5.0,It's smooth and effective.,It can be a bit pricy.,Weed,Straw,Ice,0
379,19.0,The color and description made me want to drink it.,The price.,Miller Lite,Corona,Dos eais,0
380,10.0,Bottle sticker,Organic sounds gross,Unanswered,Unanswered,Unanswered,0
381,11.0,I Like It's Packaging And Or Presentation.,Not Applicable.,Steele Reserve,Smirnoff Vodka,Paul Mason,0
383,24.0,"It looks like a really tasty, and refreshing beer",I hate that this brand is sold by Anheuser Busch,Unanswered,Unanswered,Unanswered,0
386,6.0,Taste,Unanswered,Hinder,Corona,Modelo,0
387,6.0,The vivid visuals,No dislike,Modelos,Sol,Budweiser,0
388,23.0,I really don't care for michelob ultra,The taste,Unanswered,Unanswered,Unanswered,0
389,10.0,Goodies,Taste,Bush light,Miller hihglife,Hi nick,0
391,12.0,I would like to enjoy it,It could be better,Vat 69,Heinlein,Pat,0
394,8.0,Not too sure about the detail parts,Weird taste sometimes,Miller,Bud light,Course,0
395,7.0,It is a finely brewed beer,Nothing,Bud light,Truly,Mike hard lemonade,0
396,30.0,Taste,Nothing,Unanswered,Unanswered,Unanswered,0
400,15.0,I like the price and the size of the bottle.,Don't like the label on the bottle.,Unanswered,Unanswered,Unanswered,0
401,13.0,i love tha it is a lager and i love them as a drink for me.Its not a bad drink,none,budweiser,heineken,corona,0
402,22.0,The crisp taste and no aftertaste.its a smooth beer.,The price is a little high and the alcohol content is to low..it should be at least 5.5,Unanswered,Unanswered,Unanswered,0
404,10.0,I like the packaging,I think so far I have not tried it,Unanswered,Unanswered,Unanswered,0
406,22.0,it it was a little more smoother,the way it taste it just need to be a little smoother,Unanswered,Unanswered,Unanswered,0
408,20.0,"It’s sophisticated, classy, and simple.",I wish the beer wasn’t so expensive.,Michelob regular,Miller lite,Bud light,1
